			"AGREE(back,nonlocal)"	"AGREE(front,local)"	"AGREE(nonhigh_front,local)"	"AGREE(low_front,local)"	"AGREE(double_front,local)"	USE_FRONT/bilabial__	"USE_FRONT/[+cor,+son]__"	USE_FRONT/sibilant__	USE_FRONT/CC__	USE_BACK/[C0i:C0]__
Ses	Sesnak	1	0	1	1	1	0	0	0	1	0	0
Ses	Sesnek	0	0	0	0	0	0	0	0	0	0	0
szongens	szongensnak	0	0	1	1	1	0	0	0	1	1	0
szongens	szongensnek	1	1	0	0	0	0	0	0	0	0	0
gejn	gejnnak	1	0	1	1	1	0	0	1	0	1	0
gejn	gejnnek	0	0	0	0	0	0	0	0	0	0	0
nubóner	nubónernak	1	0	1	1	1	0	0	1	0	0	0
nubóner	nubónernek	0	1	0	0	0	0	0	0	0	0	0
Kórádég	Kórádégnak	0	0	1	1	0	0	0	0	0	0	0
Kórádég	Kórádégnek	1	1	0	0	0	0	0	0	0	0	0
Ogyin	Ogyinnak	0	0	1	0	0	0	0	1	0	0	0
Ogyin	Ogyinnek	1	1	0	0	0	0	0	0	0	0	0
Szúlaríkt	Szúlaríktnak	1	0	1	0	0	0	0	0	0	1	0
Szúlaríkt	Szúlaríktnek	0	1	0	0	0	0	0	0	0	0	0
Ordirep	Ordirepnak	0	0	1	1	1	1	1	0	0	0	0
Ordirep	Ordirepnek	1	1	0	0	0	0	0	0	0	0	0
ompi	ompinak	1	0	1	0	0	0	0	0	0	0	0
ompi	ompinek	0	1	0	0	0	0	0	0	0	0	0
váézinb	váézinbnak	0	0	1	0	0	1	1	0	0	1	0
váézinb	váézinbnek	1	1	0	0	0	0	0	0	0	0	0
kíp	kípnak	1	0	1	0	0	0	1	0	0	0	0
kíp	kípnek	0	0	0	0	0	0	0	0	0	0	1
Praes	Praesnak	0	0	1	1	1	0	0	0	1	0	0
Praes	Praesnek	1	1	0	0	0	0	0	0	0	0	0
jogepsind	jogepsindnak	0	0	1	0	0	1	0	0	0	1	0
jogepsind	jogepsindnek	1	1	0	0	0	0	0	0	0	0	0
Vukcén	Vukcénnak	0	0	1	1	0	0	0	1	0	0	0
Vukcén	Vukcénnek	1	1	0	0	0	0	0	0	0	0	0
katir	katirnak	0	0	1	0	0	0	0	1	0	0	0
katir	katirnek	1	1	0	0	0	0	0	0	0	0	0
lórepém	lórepémnak	0	0	1	1	0	1	1	0	0	0	0
lórepém	lórepémnek	1	1	0	0	0	0	0	0	0	0	0
sármirc	sármircnak	0	0	1	0	0	0	0	0	1	1	0
sármirc	sármircnek	1	1	0	0	0	0	0	0	0	0	0
Krarenk	Krarenknak	1	0	1	1	1	0	0	0	0	1	0
Krarenk	Krarenknek	0	1	0	0	0	0	0	0	0	0	0
Ámizlis	Ámizlisnak	0	0	1	0	0	1	0	0	1	0	0
Ámizlis	Ámizlisnek	1	1	0	0	0	0	0	0	0	0	0
Rogyalip	Rogyalipnak	1	0	1	0	0	0	1	0	0	0	0
Rogyalip	Rogyalipnek	0	1	0	0	0	0	0	0	0	0	0
Túrgogé	Túrgogénak	0	0	1	1	0	0	0	0	0	0	0
Túrgogé	Túrgogének	1	1	0	0	0	0	0	0	0	0	0
gémp	gémpnak	1	0	1	1	0	0	1	0	0	1	0
gémp	gémpnek	0	0	0	0	0	0	0	0	0	0	0
toktirn	toktirnnak	0	0	1	0	0	0	0	1	0	1	0
toktirn	toktirnnek	1	1	0	0	0	0	0	0	0	0	0
kóaze	kóazenak	1	0	1	1	1	0	0	0	0	0	0
kóaze	kóazenek	0	1	0	0	0	0	0	0	0	0	0
Malmihénk	Malmihénknak	0	0	1	1	0	1	0	0	0	1	0
Malmihénk	Malmihénknek	1	1	0	0	0	0	0	0	0	0	0
nyakett	nyakettnak	0	0	1	1	1	0	0	0	0	1	0
nyakett	nyakettnek	1	1	0	0	0	0	0	0	0	0	0
Kámtem	Kámtemnak	0	0	1	1	1	0	1	0	0	0	0
Kámtem	Kámtemnek	1	1	0	0	0	0	0	0	0	0	0
kárék	káréknak	0	0	1	1	0	0	0	0	0	0	0
kárék	káréknek	1	1	0	0	0	0	0	0	0	0	0
olis	olisnak	1	0	1	0	0	0	0	0	1	0	0
olis	olisnek	0	1	0	0	0	0	0	0	0	0	0
mosirer	mosirernak	0	0	1	1	1	1	0	1	0	0	0
mosirer	mosirernek	1	1	0	0	0	0	0	0	0	0	0
Ádegelc	Ádegelcnak	1	0	1	1	1	1	0	0	1	1	0
Ádegelc	Ádegelcnek	0	1	0	0	0	0	0	0	0	0	0
Kotársin	Kotársinnak	1	0	1	0	0	0	0	1	0	0	0
Kotársin	Kotársinnek	0	1	0	0	0	0	0	0	0	0	0
Ulólmít	Ulólmítnak	1	0	1	0	0	0	0	0	0	0	0
Ulólmít	Ulólmítnek	0	1	0	0	0	0	0	0	0	0	0
Krenny	Krennynak	0	0	1	1	1	0	0	1	0	1	0
Krenny	Krennynek	1	0	0	0	0	0	0	0	0	0	0
hem	hemnak	1	0	1	1	1	0	1	0	0	0	0
hem	hemnek	0	0	0	0	0	0	0	0	0	0	0
kodojtíbb	kodojtíbbnak	0	0	1	0	0	0	1	0	0	1	0
kodojtíbb	kodojtíbbnek	1	1	0	0	0	0	0	0	0	0	0
kes	kesnak	0	0	1	1	1	0	0	0	1	0	0
kes	kesnek	1	0	0	0	0	0	0	0	0	0	0
Darúti	Darútinak	1	0	1	0	0	0	0	0	0	0	0
Darúti	Darútinek	0	1	0	0	0	0	0	0	0	0	0
togykálirs	togykálirsnak	1	0	1	0	0	0	0	0	1	1	0
togykálirs	togykálirsnek	0	1	0	0	0	0	0	0	0	0	0
Ém	Émnak	0	0	1	1	0	0	1	0	0	0	0
Ém	Émnek	1	0	0	0	0	0	0	0	0	0	0
fábbejn	fábbejnnak	1	0	1	1	1	0	0	1	0	1	0
fábbejn	fábbejnnek	0	1	0	0	0	0	0	0	0	0	0
hafrezin	hafrezinnak	1	0	1	0	0	1	0	1	0	0	0
hafrezin	hafrezinnek	0	1	0	0	0	0	0	0	0	0	0
tánsíbb	tánsíbbnak	1	0	1	0	0	0	1	0	0	1	0
tánsíbb	tánsíbbnek	0	1	0	0	0	0	0	0	0	0	0
Bís	Bísnak	0	0	1	0	0	0	0	0	1	0	0
Bís	Bísnek	1	0	0	0	0	0	0	0	0	0	1
Vógláfitt	Vógláfittnak	0	0	1	0	0	0	0	0	0	1	0
Vógláfitt	Vógláfittnek	1	1	0	0	0	0	0	0	0	0	0
Fávi	Fávinak	0	0	1	0	0	0	0	0	0	0	0
Fávi	Fávinek	1	1	0	0	0	0	0	0	0	0	0
Gyogem	Gyogemnak	0	0	1	1	1	0	1	0	0	0	0
Gyogem	Gyogemnek	1	1	0	0	0	0	0	0	0	0	0
pókléles	póklélesnak	1	0	1	1	1	1	0	0	1	0	0
pókléles	póklélesnek	0	1	0	0	0	0	0	0	0	0	0
varveszt	varvesztnak	0	0	1	1	1	0	0	0	0	1	0
varveszt	varvesztnek	1	1	0	0	0	0	0	0	0	0	0
csuékir	csuékirnak	0	0	1	0	0	1	0	1	0	0	0
csuékir	csuékirnek	1	1	0	0	0	0	0	0	0	0	0
Zántell	Zántellnak	0	0	1	1	1	0	0	1	0	1	0
Zántell	Zántellnek	1	1	0	0	0	0	0	0	0	0	0
hálkáltem	hálkáltemnak	1	0	1	1	1	0	1	0	0	0	0
hálkáltem	hálkáltemnek	0	1	0	0	0	0	0	0	0	0	0
Mánótér	Mánótérnak	1	0	1	1	0	0	0	1	0	0	0
Mánótér	Mánótérnek	0	1	0	0	0	0	0	0	0	0	0
zsóners	zsónersnak	0	0	1	1	1	0	0	0	1	1	0
zsóners	zsónersnek	1	1	0	0	0	0	0	0	0	0	0
trálekspes	trálekspesnak	1	0	1	1	1	1	0	0	1	0	0
trálekspes	trálekspesnek	0	1	0	0	0	0	0	0	0	0	0
csolferet	csolferetnak	0	0	1	1	1	1	0	0	0	0	0
csolferet	csolferetnek	1	1	0	0	0	0	0	0	0	0	0
Kénk	Kénknak	1	0	1	1	0	0	0	0	0	1	0
Kénk	Kénknek	0	0	0	0	0	0	0	0	0	0	0
Szapegény	Szapegénynak	0	0	1	1	0	1	0	1	0	0	0
Szapegény	Szapegénynek	1	1	0	0	0	0	0	0	0	0	0
Száktérm	Száktérmnak	0	0	1	1	0	0	1	0	0	1	0
Száktérm	Száktérmnek	1	1	0	0	0	0	0	0	0	0	0
Papem	Papemnak	0	0	1	1	1	0	1	0	0	0	0
Papem	Papemnek	1	1	0	0	0	0	0	0	0	0	0
csogek	csogeknak	0	0	1	1	1	0	0	0	0	0	0
csogek	csogeknek	1	1	0	0	0	0	0	0	0	0	0
kec	kecnak	0	0	1	1	1	0	0	0	1	0	0
kec	kecnek	1	0	0	0	0	0	0	0	0	0	0
szallotbérf	szallotbérfnak	0	0	1	1	0	0	0	0	0	1	0
szallotbérf	szallotbérfnek	1	1	0	0	0	0	0	0	0	0	0
Nanye	Nanyenak	1	0	1	1	1	0	0	0	0	0	0
Nanye	Nanyenek	0	1	0	0	0	0	0	0	0	0	0
hossassém	hossassémnak	1	0	1	1	0	0	1	0	0	0	0
hossassém	hossassémnek	0	1	0	0	0	0	0	0	0	0	0
Krís	Krísnak	1	0	1	0	0	0	0	0	1	0	0
Krís	Krísnek	0	0	0	0	0	0	0	0	0	0	1
asosilt	asosiltnak	0	0	1	0	0	0	0	0	0	1	0
asosilt	asosiltnek	1	1	0	0	0	0	0	0	0	0	0
nászten	násztennak	1	0	1	1	1	0	0	1	0	0	0
nászten	násztennek	0	1	0	0	0	0	0	0	0	0	0
hudévell	hudévellnak	1	0	1	1	1	1	0	1	0	1	0
hudévell	hudévellnek	0	1	0	0	0	0	0	0	0	0	0
Heszt	Hesztnak	1	0	1	1	1	0	0	0	0	1	0
Heszt	Hesztnek	0	0	0	0	0	0	0	0	0	0	0
Kens	Kensnak	0	0	1	1	1	0	0	0	1	1	0
Kens	Kensnek	1	0	0	0	0	0	0	0	0	0	0
Nyumlés	Nyumlésnak	1	0	1	1	0	0	0	0	1	0	0
Nyumlés	Nyumlésnek	0	1	0	0	0	0	0	0	0	0	0
Zálaszebb	Zálaszebbnak	1	0	1	1	1	0	1	0	0	1	0
Zálaszebb	Zálaszebbnek	0	1	0	0	0	0	0	0	0	0	0
honkresztim	honkresztimnak	1	0	1	0	0	1	1	0	0	0	0
honkresztim	honkresztimnek	0	1	0	0	0	0	0	0	0	0	0
oltegeny	oltegenynak	0	0	1	1	1	1	0	1	0	0	0
oltegeny	oltegenynek	1	1	0	0	0	0	0	0	0	0	0
kagópzev	kagópzevnak	0	0	1	1	1	0	0	0	0	0	0
kagópzev	kagópzevnek	1	1	0	0	0	0	0	0	0	0	0
Análcsis	Análcsisnak	1	0	1	0	0	0	0	0	1	0	0
Análcsis	Análcsisnek	0	1	0	0	0	0	0	0	0	0	0
hápsugég	hápsugégnak	0	0	1	1	0	0	0	0	0	0	0
hápsugég	hápsugégnek	1	1	0	0	0	0	0	0	0	0	0
Azde	Azdenak	0	0	1	1	1	0	0	0	0	0	0
Azde	Azdenek	1	1	0	0	0	0	0	0	0	0	0
arkatlen	arkatlennak	0	0	1	1	1	0	0	1	0	0	0
arkatlen	arkatlennek	1	1	0	0	0	0	0	0	0	0	0
várcenks	várcenksnak	1	0	1	1	1	0	0	0	1	1	0
várcenks	várcenksnek	0	1	0	0	0	0	0	0	0	0	0
makell	makellnak	1	0	1	1	1	0	0	1	0	1	0
makell	makellnek	0	1	0	0	0	0	0	0	0	0	0
Soktib	Soktibnak	1	0	1	0	0	0	1	0	0	0	0
Soktib	Soktibnek	0	1	0	0	0	0	0	0	0	0	0
Pákelp	Pákelpnak	1	0	1	1	1	0	1	0	0	1	0
Pákelp	Pákelpnek	0	1	0	0	0	0	0	0	0	0	0
Csaszteng	Csasztengnak	0	0	1	1	1	0	0	0	0	1	0
Csaszteng	Csasztengnek	1	1	0	0	0	0	0	0	0	0	0
Fétty	Féttynak	0	0	1	1	0	0	0	0	0	1	0
Fétty	Féttynek	1	0	0	0	0	0	0	0	0	0	0
ormem	ormemnak	1	0	1	1	1	0	1	0	0	0	0
ormem	ormemnek	0	1	0	0	0	0	0	0	0	0	0
gés	gésnak	1	0	1	1	0	0	0	0	1	0	0
gés	gésnek	0	0	0	0	0	0	0	0	0	0	0
cér	cérnak	1	0	1	1	0	0	0	1	0	0	0
cér	cérnek	0	0	0	0	0	0	0	0	0	0	0
Mámés	Mámésnak	1	0	1	1	0	0	0	0	1	0	0
Mámés	Mámésnek	0	1	0	0	0	0	0	0	0	0	0
zátém	zátémnak	0	0	1	1	0	0	1	0	0	0	0
zátém	zátémnek	1	1	0	0	0	0	0	0	0	0	0
Atorsel	Atorselnak	0	0	1	1	1	0	0	1	0	0	0
Atorsel	Atorselnek	1	1	0	0	0	0	0	0	0	0	0
nyolkámékt	nyolkáméktnak	0	0	1	1	0	0	0	0	0	1	0
nyolkámékt	nyolkáméktnek	1	1	0	0	0	0	0	0	0	0	0
nolgenyemp	nolgenyempnak	0	0	1	1	1	1	1	0	0	1	0
nolgenyemp	nolgenyempnek	1	1	0	0	0	0	0	0	0	0	0
csely	cselynak	1	0	1	1	1	0	0	0	0	0	0
csely	cselynek	0	0	0	0	0	0	0	0	0	0	0
Vé	Vénak	1	0	1	1	0	0	0	0	0	0	0
Vé	Vének	0	0	0	0	0	0	0	0	0	0	0
Bázarvém	Bázarvémnak	0	0	1	1	0	0	1	0	0	0	0
Bázarvém	Bázarvémnek	1	1	0	0	0	0	0	0	0	0	0
Linny	Linnynak	0	0	1	0	0	0	0	1	0	1	0
Linny	Linnynek	1	0	0	0	0	0	0	0	0	0	0
Mabánen	Mabánennak	0	0	1	1	1	0	0	1	0	0	0
Mabánen	Mabánennek	1	1	0	0	0	0	0	0	0	0	0
éng	éngnak	1	0	1	1	0	0	0	0	0	1	0
éng	éngnek	0	0	0	0	0	0	0	0	0	0	0
teks	teksnak	0	0	1	1	1	0	0	0	1	1	0
teks	teksnek	1	0	0	0	0	0	0	0	0	0	0
kes	kesnak	1	0	1	1	1	0	0	0	1	0	0
kes	kesnek	0	0	0	0	0	0	0	0	0	0	0
Jagílgy	Jagílgynak	1	0	1	0	0	0	0	0	0	1	0
Jagílgy	Jagílgynek	0	1	0	0	0	0	0	0	0	0	0
fétt	féttnak	0	0	1	1	0	0	0	0	0	1	0
fétt	féttnek	1	0	0	0	0	0	0	0	0	0	0
Tig	Tignak	0	0	1	0	0	0	0	0	0	0	0
Tig	Tignek	1	0	0	0	0	0	0	0	0	0	0
frápelcs	frápelcsnak	1	0	1	1	1	0	0	0	1	1	0
frápelcs	frápelcsnek	0	1	0	0	0	0	0	0	0	0	0
vim	vimnak	0	0	1	0	0	0	1	0	0	0	0
vim	vimnek	1	0	0	0	0	0	0	0	0	0	0
trolér	trolérnak	1	0	1	1	0	0	0	1	0	0	0
trolér	trolérnek	0	1	0	0	0	0	0	0	0	0	0
Mágék	Mágéknak	0	0	1	1	0	0	0	0	0	0	0
Mágék	Mágéknek	1	1	0	0	0	0	0	0	0	0	0
Does	Doesnak	1	0	1	1	1	0	0	0	1	0	0
Does	Doesnek	0	1	0	0	0	0	0	0	0	0	0
Lálepzes	Lálepzesnak	1	0	1	1	1	1	0	0	1	0	0
Lálepzes	Lálepzesnek	0	1	0	0	0	0	0	0	0	0	0
Kéll	Kéllnak	0	0	1	1	0	0	0	1	0	1	0
Kéll	Kéllnek	1	0	0	0	0	0	0	0	0	0	0
pamzilim	pamzilimnak	1	0	1	0	0	1	1	0	0	0	0
pamzilim	pamzilimnek	0	1	0	0	0	0	0	0	0	0	0
fárezeny	fárezenynak	1	0	1	1	1	1	0	1	0	0	0
fárezeny	fárezenynek	0	1	0	0	0	0	0	0	0	0	0
vemm	vemmnak	1	0	1	1	1	0	1	0	0	1	0
vemm	vemmnek	0	0	0	0	0	0	0	0	0	0	0
Fájcid	Fájcidnak	1	0	1	0	0	0	0	0	0	0	0
Fájcid	Fájcidnek	0	1	0	0	0	0	0	0	0	0	0
hér	hérnak	0	0	1	1	0	0	0	1	0	0	0
hér	hérnek	1	0	0	0	0	0	0	0	0	0	0
Bógim	Bógimnak	1	0	1	0	0	0	1	0	0	0	0
Bógim	Bógimnek	0	1	0	0	0	0	0	0	0	0	0
ebb	ebbnak	1	0	1	1	1	0	1	0	0	1	0
ebb	ebbnek	0	0	0	0	0	0	0	0	0	0	0
obbosztep	obbosztepnak	1	0	1	1	1	0	1	0	0	0	0
obbosztep	obbosztepnek	0	1	0	0	0	0	0	0	0	0	0
kénc	kéncnak	0	0	1	1	0	0	0	0	1	1	0
kénc	kéncnek	1	0	0	0	0	0	0	0	0	0	0
Glé	Glénak	0	0	1	1	0	0	0	0	0	0	0
Glé	Glének	1	0	0	0	0	0	0	0	0	0	0
Mumázírr	Mumázírrnak	1	0	1	0	0	0	0	1	0	1	0
Mumázírr	Mumázírrnek	0	1	0	0	0	0	0	0	0	0	0
Száterszt	Szátersztnak	1	0	1	1	1	0	0	0	0	1	0
Száterszt	Szátersztnek	0	1	0	0	0	0	0	0	0	0	0
Tordukeng	Tordukengnak	1	0	1	1	1	0	0	0	0	1	0
Tordukeng	Tordukengnek	0	1	0	0	0	0	0	0	0	0	0
kónsis	kónsisnak	0	0	1	0	0	0	0	0	1	0	0
kónsis	kónsisnek	1	1	0	0	0	0	0	0	0	0	0
jurken	jurkennak	1	0	1	1	1	0	0	1	0	0	0
jurken	jurkennek	0	1	0	0	0	0	0	0	0	0	0
gálkonyés	gálkonyésnak	1	0	1	1	0	0	0	0	1	0	0
gálkonyés	gálkonyésnek	0	1	0	0	0	0	0	0	0	0	0
Kes	Kesnak	0	0	1	1	1	0	0	0	1	0	0
Kes	Kesnek	1	0	0	0	0	0	0	0	0	0	0
százávet	százávetnak	0	0	1	1	1	0	0	0	0	0	0
százávet	százávetnek	1	1	0	0	0	0	0	0	0	0	0
Szotlib	Szotlibnak	1	0	1	0	0	0	1	0	0	0	0
Szotlib	Szotlibnek	0	1	0	0	0	0	0	0	0	0	0
kadvénb	kadvénbnak	1	0	1	1	0	0	1	0	0	1	0
kadvénb	kadvénbnek	0	1	0	0	0	0	0	0	0	0	0
szatéléll	szatéléllnak	0	0	1	1	0	1	0	1	0	1	0
szatéléll	szatéléllnek	1	1	0	0	0	0	0	0	0	0	0
votelim	votelimnak	0	0	1	0	0	1	1	0	0	0	0
votelim	votelimnek	1	1	0	0	0	0	0	0	0	0	0
Oszteksz	Oszteksznak	1	0	1	1	1	0	0	0	1	1	0
Oszteksz	Oszteksznek	0	1	0	0	0	0	0	0	0	0	0
Hopetin	Hopetinnak	1	0	1	0	0	1	0	1	0	0	0
Hopetin	Hopetinnek	0	1	0	0	0	0	0	0	0	0	0
Kószett	Kószettnak	0	0	1	1	1	0	0	0	0	1	0
Kószett	Kószettnek	1	1	0	0	0	0	0	0	0	0	0
Palész	Palésznak	0	0	1	1	0	0	0	0	1	0	0
Palész	Palésznek	1	1	0	0	0	0	0	0	0	0	0
atvíteld	atvíteldnak	0	0	1	1	1	1	0	0	0	1	0
atvíteld	atvíteldnek	1	1	0	0	0	0	0	0	0	0	0
hev	hevnak	0	0	1	1	1	0	0	0	0	0	0
hev	hevnek	1	0	0	0	0	0	0	0	0	0	0
rapeny	rapenynak	1	0	1	1	1	0	0	1	0	0	0
rapeny	rapenynek	0	1	0	0	0	0	0	0	0	0	0
Azeles	Azelesnak	0	0	1	1	1	1	0	0	1	0	0
Azeles	Azelesnek	1	1	0	0	0	0	0	0	0	0	0
frotverd	frotverdnak	1	0	1	1	1	0	0	0	0	1	0
frotverd	frotverdnek	0	1	0	0	0	0	0	0	0	0	0
Paken	Pakennak	0	0	1	1	1	0	0	1	0	0	0
Paken	Pakennek	1	1	0	0	0	0	0	0	0	0	0
vérv	vérvnak	0	0	1	1	0	0	0	0	0	1	0
vérv	vérvnek	1	0	0	0	0	0	0	0	0	0	0
gongíb	gongíbnak	0	0	1	0	0	0	1	0	0	0	0
gongíb	gongíbnek	1	1	0	0	0	0	0	0	0	0	0
togern	togernnak	0	0	1	1	1	0	0	1	0	1	0
togern	togernnek	1	1	0	0	0	0	0	0	0	0	0
Szerd	Szerdnak	1	0	1	1	1	0	0	0	0	1	0
Szerd	Szerdnek	0	0	0	0	0	0	0	0	0	0	0
Hollém	Hollémnak	1	0	1	1	0	0	1	0	0	0	0
Hollém	Hollémnek	0	1	0	0	0	0	0	0	0	0	0
bédt	bédtnak	0	0	1	1	0	0	0	0	0	1	0
bédt	bédtnek	1	0	0	0	0	0	0	0	0	0	0
Lí	Línak	0	0	1	0	0	0	0	0	0	0	0
Lí	Línek	1	0	0	0	0	0	0	0	0	0	1
Ralét	Ralétnak	0	0	1	1	0	0	0	0	0	0	0
Ralét	Ralétnek	1	1	0	0	0	0	0	0	0	0	0
koojém	koojémnak	1	0	1	1	0	0	1	0	0	0	0
koojém	koojémnek	0	1	0	0	0	0	0	0	0	0	0
rápárer	rápárernak	1	0	1	1	1	0	0	1	0	0	0
rápárer	rápárernek	0	1	0	0	0	0	0	0	0	0	0
katem	katemnak	1	0	1	1	1	0	1	0	0	0	0
katem	katemnek	0	1	0	0	0	0	0	0	0	0	0
Orolebb	Orolebbnak	0	0	1	1	1	0	1	0	0	1	0
Orolebb	Orolebbnek	1	1	0	0	0	0	0	0	0	0	0
Akíklen	Akíklennak	1	0	1	1	1	1	0	1	0	0	0
Akíklen	Akíklennek	0	1	0	0	0	0	0	0	0	0	0
Házegyig	Házegyignak	0	0	1	0	0	1	0	0	0	0	0
Házegyig	Házegyignek	1	1	0	0	0	0	0	0	0	0	0
Pralles	Prallesnak	0	0	1	1	1	0	0	0	1	0	0
Pralles	Prallesnek	1	1	0	0	0	0	0	0	0	0	0
Gyés	Gyésnak	1	0	1	1	0	0	0	0	1	0	0
Gyés	Gyésnek	0	0	0	0	0	0	0	0	0	0	0
Suzis	Suzisnak	0	0	1	0	0	0	0	0	1	0	0
Suzis	Suzisnek	1	1	0	0	0	0	0	0	0	0	0
sviny	svinynak	0	0	1	0	0	0	0	1	0	0	0
sviny	svinynek	1	0	0	0	0	0	0	0	0	0	0
kolgélens	kolgélensnak	0	0	1	1	1	1	0	0	1	1	0
kolgélens	kolgélensnek	1	1	0	0	0	0	0	0	0	0	0
vatill	vatillnak	0	0	1	0	0	0	0	1	0	1	0
vatill	vatillnek	1	1	0	0	0	0	0	0	0	0	0
arzútlek	arzútleknak	0	0	1	1	1	0	0	0	0	0	0
arzútlek	arzútleknek	1	1	0	0	0	0	0	0	0	0	0
kers	kersnak	1	0	1	1	1	0	0	0	1	1	0
kers	kersnek	0	0	0	0	0	0	0	0	0	0	0
lebb	lebbnak	0	0	1	1	1	0	1	0	0	1	0
lebb	lebbnek	1	0	0	0	0	0	0	0	0	0	0
Ilv	Ilvnak	0	0	1	0	0	0	0	0	0	1	0
Ilv	Ilvnek	1	0	0	0	0	0	0	0	0	0	0
gutés	gutésnak	0	0	1	1	0	0	0	0	1	0	0
gutés	gutésnek	1	1	0	0	0	0	0	0	0	0	0
Zagye	Zagyenak	0	0	1	1	1	0	0	0	0	0	0
Zagye	Zagyenek	1	1	0	0	0	0	0	0	0	0	0
bazmarem	bazmaremnak	0	0	1	1	1	0	1	0	0	0	0
bazmarem	bazmaremnek	1	1	0	0	0	0	0	0	0	0	0
jís	jísnak	0	0	1	0	0	0	0	0	1	0	0
jís	jísnek	1	0	0	0	0	0	0	0	0	0	1
vámoríjt	vámoríjtnak	1	0	1	0	0	0	0	0	0	1	0
vámoríjt	vámoríjtnek	0	1	0	0	0	0	0	0	0	0	0
Duérelm	Duérelmnak	0	0	1	1	1	1	1	0	0	1	0
Duérelm	Duérelmnek	1	1	0	0	0	0	0	0	0	0	0
Assezpir	Assezpirnak	0	0	1	0	0	1	0	1	0	0	0
Assezpir	Assezpirnek	1	1	0	0	0	0	0	0	0	0	0
Notém	Notémnak	1	0	1	1	0	0	1	0	0	0	0
Notém	Notémnek	0	1	0	0	0	0	0	0	0	0	0
Lalkeny	Lalkenynak	0	0	1	1	1	0	0	1	0	0	0
Lalkeny	Lalkenynek	1	1	0	0	0	0	0	0	0	0	0
szuserenny	szuserennynak	1	0	1	1	1	1	0	1	0	1	0
szuserenny	szuserennynek	0	1	0	0	0	0	0	0	0	0	0
szodóné	szodónénak	1	0	1	1	0	0	0	0	0	0	0
szodóné	szodónének	0	1	0	0	0	0	0	0	0	0	0
kokepérc	kokepércnak	1	0	1	1	0	1	0	0	1	1	0
kokepérc	kokepércnek	0	1	0	0	0	0	0	0	0	0	0
Grenny	Grennynak	1	0	1	1	1	0	0	1	0	1	0
Grenny	Grennynek	0	0	0	0	0	0	0	0	0	0	0
fatézem	fatézemnak	1	0	1	1	1	1	1	0	0	0	0
fatézem	fatézemnek	0	1	0	0	0	0	0	0	0	0	0
Hés	Hésnak	1	0	1	1	0	0	0	0	1	0	0
Hés	Hésnek	0	0	0	0	0	0	0	0	0	0	0
féns	fénsnak	0	0	1	1	0	0	0	0	1	1	0
féns	fénsnek	1	0	0	0	0	0	0	0	0	0	0
hébb	hébbnak	1	0	1	1	0	0	1	0	0	1	0
hébb	hébbnek	0	0	0	0	0	0	0	0	0	0	0
vopés	vopésnak	1	0	1	1	0	0	0	0	1	0	0
vopés	vopésnek	0	1	0	0	0	0	0	0	0	0	0
Lonyé	Lonyénak	0	0	1	1	0	0	0	0	0	0	0
Lonyé	Lonyének	1	1	0	0	0	0	0	0	0	0	0
Dágrirnétt	Dágrirnéttnak	0	0	1	1	0	1	0	0	0	1	0
Dágrirnétt	Dágrirnéttnek	1	1	0	0	0	0	0	0	0	0	0
Szánéjik	Szánéjiknak	1	0	1	0	0	1	0	0	0	0	0
Szánéjik	Szánéjiknek	0	1	0	0	0	0	0	0	0	0	0
Ánem	Ánemnak	1	0	1	1	1	0	1	0	0	0	0
Ánem	Ánemnek	0	1	0	0	0	0	0	0	0	0	0
ir	irnak	1	0	1	0	0	0	0	1	0	0	0
ir	irnek	0	0	0	0	0	0	0	0	0	0	0
pumeng	pumengnak	0	0	1	1	1	0	0	0	0	1	0
pumeng	pumengnek	1	1	0	0	0	0	0	0	0	0	0
eny	enynak	1	0	1	1	1	0	0	1	0	0	0
eny	enynek	0	0	0	0	0	0	0	0	0	0	0
Pusim	Pusimnak	1	0	1	0	0	0	1	0	0	0	0
Pusim	Pusimnek	0	1	0	0	0	0	0	0	0	0	0
pólmápés	pólmápésnak	1	0	1	1	0	0	0	0	1	0	0
pólmápés	pólmápésnek	0	1	0	0	0	0	0	0	0	0	0
Cej	Cejnak	1	0	1	1	1	0	0	0	0	0	0
Cej	Cejnek	0	0	0	0	0	0	0	0	0	0	0
vánotés	vánotésnak	1	0	1	1	0	0	0	0	1	0	0
vánotés	vánotésnek	0	1	0	0	0	0	0	0	0	0	0
bép	bépnak	0	0	1	1	0	0	1	0	0	0	0
bép	bépnek	1	0	0	0	0	0	0	0	0	0	0
nend	nendnak	1	0	1	1	1	0	0	0	0	1	0
nend	nendnek	0	0	0	0	0	0	0	0	0	0	0
Méll	Méllnak	0	0	1	1	0	0	0	1	0	1	0
Méll	Méllnek	1	0	0	0	0	0	0	0	0	0	0
Tazél	Tazélnak	1	0	1	1	0	0	0	1	0	0	0
Tazél	Tazélnek	0	1	0	0	0	0	0	0	0	0	0
Asszede	Asszedenak	0	0	1	1	1	1	0	0	0	0	0
Asszede	Asszedenek	1	1	0	0	0	0	0	0	0	0	0
Stagasszil	Stagasszilnak	1	0	1	0	0	0	0	1	0	0	0
Stagasszil	Stagasszilnek	0	1	0	0	0	0	0	0	0	0	0
szudegziszt	szudegzisztnak	0	0	1	0	0	1	0	0	0	1	0
